Graph,Nodes,Edges,AvgDegree,Clustering,Density,Components,Diameter,AvgDegreeCentrality,AvgBetweenness,TimeSec
Facebook,4039,88234,43.69101262688784,0.6055467186200876,0.010819963503439287,1,8,0.010819963503439833,0.0006718074502285312,148.57101488113403
RoadNet_CA,1965206,2766607,2.8155898160294646,0.04581666666666654,1.4327206657979522e-06,2638,Cannot compute (sample not connected),1.432720665807616e-06,Skipped (graph too large),13.488594055175781
